,Taxid,Species,Genome,Proteome,Tr.level,Tr.primary,Tr.direct.contact,Tr.faecal.oral,Tr.food.borne,Tr.respiratory,Tr.vector,Tr.vertical,Tr.multiple,Tp.primary,Tp.cardiac,Tp.circulatory,Tp.endocrine,Tp.gastrointestinal,Tp.hepatic,Tp.joints,Tp.muscular,Tp.neural,Tp.renal,Tp.reproductive,Tp.respiratory,Tp.sensory,Tp.skin,Tp.vascular,Tp.multiple
197,1987019,Tibrovirus betaekpoma,NC_038283.1,"YP_009505512.1,YP_009505513.1,YP_009505514.1,YP_009505515.1,YP_009505516.1,YP_009505517.1,YP_009505518.1,YP_009505519.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1987017,Tibrovirus congo,NC_043067.1,"YP_009664712.1,YP_009664713.1,YP_009664714.1,YP_009664715.1,YP_009664716.1,YP_009664717.1,YP_009664718.1,YP_009664719.1",3,direct contact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,60877,Tonate virus,NC_038675.1,"YP_009507804.1,YP_009507805.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,59304,Una virus,NC_043403.1,"YP_009665988.1,YP_009665989.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1933191,Uukuniemi phlebovirus,"MG969384.1,MG969385.1,MG969386.1","AWH61703.1,AWH61704.1,AWH61705.1,AWH61706.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,11036,Venezuelan equine encephalitis virus,MZ399798.1,"QWY73221.1,QWY73222.1",3,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
203,35612,Vesicular exanthema of swine virus,NC_002551.1,"NP_066255.1,NP_066256.1,NP_066257.1",2,direct contact,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,1972579,Vesiculovirus alagoas,NC_025353.1,"YP_009094097.1,YP_009094098.1,YP_009094099.1,YP_009094100.1,YP_009094101.1",2,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1972576,Vesiculovirus chandipura,NC_020805.1,"YP_007641377.1,YP_007641378.1,YP_007641379.1,YP_007641380.1,YP_007641381.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,1972572,Vesiculovirus cocal,NC_028255.1,"YP_009177647.1,YP_009177648.1,YP_009177649.1,YP_009177650.1,YP_009177651.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1972577,Vesiculovirus indiana,NC_038236.1,"YP_009505322.1,YP_009505323.1,YP_009505324.1,YP_009505325.1,YP_009505326.1",2,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,1972573,Vesiculovirus isfahan,NC_020806.1,"YP_007641382.1,YP_007641383.1,YP_007641384.1,YP_007641385.1,YP_007641386.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1972574,Vesiculovirus maraba,NC_025255.1,"YP_009091825.1,YP_009091826.1,YP_009091827.1,YP_009091828.1,YP_009091829.1,YP_009091830.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1972578,Vesiculovirus newjersey,NC_024473.1,"YP_009047081.1,YP_009047082.1,YP_009440976.1,YP_009047083.1,YP_009047084.1,YP_009047085.1",2,vector,1.0,0.0,0.0,0.0,1.0,0.0,1.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1972575,Vesiculovirus piry,NC_038286.1,"YP_009505532.1,YP_009505533.1,YP_009505534.1,YP_009505535.1,YP_009505536.1",2,,,,,,,,,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,11039,Western equine encephalitis virus,MN477208.1,"QEX51908.1,QEX51909.1",2,vector,0.0,0.0,0.0,0.0,1.0,1.0,0.0,neural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
213,48543,Whataroa virus,NC_016961.1,"YP_008888546.1,YP_005351236.1,YP_005351237.1,YP_006491259.1",2,vector,0.0,0.0,0.0,0.0,1.0,0.0,0.0,viraemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
